Image_Index, Camera, Point_Index, X, Y
6, right, 51, 1103.0330, 591.4125
6, right, 52, 1102.0000, 535.0000
6, right, 53, 1101.7188, 479.5561
6, right, 54, 1101.0000, 425.0000
7, left, 1, 2396.8816, 587.6478
7, left, 2, 2395.2283, 533.2877
7, left, 3, 2393.2148, 479.6581
7, left, 4, 2391.8440, 426.9756
7, left, 5, 2390.0513, 375.4583
7, left, 6, 2388.5549, 324.5154
7, left, 7, 2334.7939, 581.1224
7, left, 8, 2333.6816, 526.1577
7, left, 9, 2332.4333, 472.8100
7, left, 10, 2331.3643, 420.0753
7, left, 11, 2330.2041, 368.5992
7, left, 12, 2329.0706, 317.8073
7, left, 13, 2272.7334, 574.2142
7, left, 14, 2272.0042, 519.4709
7, left, 15, 2271.4177, 465.8215
7, left, 16, 2270.8748, 413.3718
7, left, 17, 2270.1714, 361.6732
7, left, 18, 2269.6816, 311.0778
7, left, 19, 2210.0999, 567.2493
7, left, 20, 2210.0730, 512.6215
7, left, 21, 2210.1624, 459.1032
